	KILR	INTR	RECE	INSH5	RECT	RACR	RZPR	Q9RPJ4	RACC
GCA_000148605.1_ASM14860v1	0	1	1	1	0	0	1	0	0
GCA_003231115.1_ASM323111v1	0	1	0	1	0	0	0	0	0
GCA_002310675.1_ASM231067v1	1	1	1	1	1	1	0	0	1
GCA_002310695.1_ASM231069v1	1	1	1	0	1	0	1	0	1
GCA_002009315.1_ASM200931v1	0	1	1	0	0	0	1	0	0
GCA_002934895.1_ASM293489v1	1	1	1	1	1	0	1	0	1
GCA_000299475.1_ASM29947v1	1	1	1	1	0	0	1	0	0
GCA_001559615.2_ASM155961v2	1	1	0	0	1	0	1	0	1
GCA_000184185.1_ASM18418v1	1	1	1	0	1	0	0	0	1
GCA_001618365.1_ASM161836v1	0	1	1	1	0	0	1	0	0
GCA_002180135.1_ASM218013v1	0	0	1	1	0	0	0	0	0
GCA_001566335.1_ASM156633v1	1	1	1	1	1	1	1	0	1
GCA_001886555.1_ASM188655v1	0	0	1	1	0	0	1	0	0
GCA_000010485.1_ASM1048v1	0	1	0	1	0	0	1	0	0
GCA_002803905.1_ASM280390v1	0	1	1	1	0	0	0	0	0
GCA_000299455.1_ASM29945v1	1	1	1	1	0	0	1	0	0
GCA_002193095.1_ASM219309v1	0	1	1	1	0	0	1	0	0
GCA_002012065.1_ASM201206v1	0	1	1	0	0	0	1	0	0
GCA_002058765.1_ASM205876v1	1	1	1	1	1	0	1	0	1
GCA_900149915.1_EPEC-E2348_69-V2	0	0	1	0	0	0	1	0	0
GCA_001753565.1_ASM175356v1	0	1	1	0	0	1	1	0	0
GCA_001021005.2_ASM102100v2	1	1	1	1	1	1	1	0	1
GCA_003181035.1_ASM318103v1	0	1	1	1	0	0	1	0	0
GCA_002844165.1_ASM284416v1	1	1	1	0	1	1	1	0	0
GCA_000803705.1_ASM80370v1	0	1	1	0	0	1	1	0	0
GCA_001888075.1_ASM188807v1	0	0	1	1	0	0	1	0	0
GCA_000974865.1_ASM97486v1	1	1	1	1	1	1	1	0	1
GCA_001900455.1_ASM190045v1	1	1	1	0	1	0	1	1	1
GCA_002357915.1_ASM235791v1	1	1	1	0	0	0	1	0	0
GCA_001307215.1_ASM130721v1	0	1	1	0	0	0	1	0	0
GCA_000986765.1_ASM98676v1	1	1	1	1	0	0	1	0	0
GCA_002057355.1_ASM205735v1	1	1	1	0	1	1	1	0	1
GCA_000800765.1_ASM80076v1	1	1	1	1	1	1	0	0	1
GCA_001999185.1_ASM199918v1	1	1	1	1	1	1	1	0	1
GCA_002215115.1_ASM221511v1	0	1	1	1	0	0	1	0	0
GCA_001675145.1_ASM167514v1	0	1	1	1	0	0	1	0	0
GCA_002899475.1_ASM289947v1	1	1	1	1	1	0	0	0	1
GCA_002012025.1_ASM201202v1	0	1	1	1	0	0	1	0	0
GCA_001682305.2_ASM168230v2	0	1	0	1	0	0	0	0	0
GCA_001890365.1_ASM189036v1	1	1	1	1	1	0	1	0	1
GCA_001644745.1_ASM164474v1	0	1	1	0	0	0	1	0	0
GCA_002951855.1_ASM295185v1	0	1	1	0	0	0	0	0	0
GCA_001900475.1_ASM190047v1	1	1	1	0	1	0	1	0	1
GCA_001612475.1_ASM161247v1	0	1	1	0	0	1	1	0	0
GCA_001753465.1_ASM175346v1	0	1	1	0	0	1	1	0	0
GCA_001651925.2_ASM165192v2	0	1	1	0	0	1	1	1	0
GCA_000599645.1_ASM59964v1	0	0	1	1	0	0	1	0	0
GCA_001183645.1_ASM118364v1	1	1	1	1	1	1	1	0	1
GCA_001900355.1_ASM190035v1	0	1	1	0	0	0	1	0	0
GCA_003288455.1_ASM328845v1	0	1	1	0	0	0	1	0	0
GCA_001566655.1_ASM156665v1	0	1	0	1	0	0	1	0	0
GCA_001901315.1_ASM190131v1	0	0	1	1	0	0	0	1	0
GCA_003013205.1_ASM301320v1	0	1	1	0	0	0	0	0	0
GCA_003287245.1_ASM328724v1	1	1	1	0	1	0	1	0	1
GCA_002787315.1_ASM278731v1	0	0	1	0	0	0	0	0	0
GCA_001886575.1_ASM188657v1	0	0	1	1	0	0	1	0	0
GCA_001901105.1_ASM190110v1	1	0	1	0	1	0	0	0	1
GCA_001644725.1_ASM164472v1	0	1	1	0	0	0	1	0	0
GCA_002999075.1_ASM299907v1	1	1	1	0	1	0	1	0	1
GCA_001753525.1_ASM175352v1	0	1	1	0	0	1	1	0	0
GCA_001901215.1_ASM190121v1	1	0	1	0	1	0	0	0	1
GCA_000233895.1_ASM23389v1	0	1	1	0	0	0	1	0	0
GCA_001936315.1_ASM193631v1	1	1	1	1	1	0	1	0	0
GCA_000021125.1_ASM2112v1	0	1	1	0	0	1	1	0	0
GCA_002237305.1_ASM223730v1	0	1	0	0	1	0	0	0	0
GCA_001890325.1_ASM189032v1	0	1	1	0	0	1	1	0	0
GCA_002012125.1_ASM201212v1	0	1	1	0	0	0	1	0	0
GCA_002996945.1_ASM299694v1	0	1	1	1	0	0	1	0	0
GCA_002310715.1_ASM231071v1	0	1	0	1	0	0	0	0	0
GCA_001900375.1_ASM190037v1	0	0	0	0	0	0	0	1	0
GCA_003288415.1_ASM328841v1	0	1	1	1	0	0	1	0	0
